# 配色方案列表（序号、主题、各组件颜色依次为：用户名、主机、路径、git分支、符号、背景）
1|彩虹序曲|#FFB3BA|#FFD9A8|#FFF9B0|#B5EAD7|#A7D8DE|#C9B1FF
2|晨光幻彩|#FFC8C8|#FFE0A0|#FFF5A0|#B5E6C3|#A8D8EA|#D4BFFF
3|糖果梦境|#FFB7C5|#FFD89C|#FFF59C|#A8E6CF|#88D8F0|#C9A0FF
4|柔和棱镜|#FFC1B4|#FFE0A8|#FFF9A8|#A8D8B8|#A0D0E8|#C8A8FF
5|花瓣飘落|#FFB0B0|#FFD4A0|#FFF0A0|#A0D8B0|#98C8E0|#B8A0F0
6|蜜糖时光|#FFB8B8|#FFD8A0|#FFECA0|#B0D8B8|#A0C8E0|#C0A8F0
7|春日絮语|#FFC0B0|#FFDCA0|#FFF0A0|#A8E0B8|#98D0E8|#B8A8FF
8|气泡梦境|#FFB0C0|#FFD0A0|#FFE8A0|#A0D0B0|#90C8E0|#C0A8E8
9|棉花糖云|#FFB8C0|#FFD0A8|#FFE8A8|#A8D0C0|#A0C8E0|#C0B0F0
10|软糖彩虹|#FFB8B0|#FFD0A0|#FFE8A0|#A0D8C0|#98C0E0|#B8A0E8
11|晨曦微光|#FFC8B8|#FFDCA8|#FFF0A8|#B0E0C0|#A0D0E8|#C0B0F8
12|甜心宝石|#FFB8B0|#FFD0A0|#FFE8A0|#A8D0B8|#98C8E0|#B8A8F0
13|梦幻彩虹|#FFB0B8|#FFD0A0|#FFE8A0|#A0D8B8|#98C8E0|#C0A8F0
14|云朵花园|#FFC0B8|#FFD8A0|#FFECA0|#A8D8B8|#A0C8E0|#B8A8E8
15|糖果派对|#FFB8B8|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0F0
16|柔软时光|#FFB8B0|#FFD4A0|#FFECA0|#A8D4B8|#98C8E0|#C0A8E8
17|彩虹泡泡|#FFB0B8|#FFD0A0|#FFE8A0|#A0D0B8|#98C8E0|#B8A0E8
18|甜梦花园|#FFB8B8|#FFD0A8|#FFE8A0|#A8D8B8|#A0C8E0|#B8A8F0
19|浅色序曲|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
20|棉花时光|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
21|彩虹糖|#FFB0B0|#FFD0A0|#FFE8A0|#A0D0B0|#98C0D8|#B8A0E0
22|梦幻花园|#FFB8B8|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
23|柔彩时光|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
24|糖果时光|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
25|彩虹花园|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
26|甜梦时光|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
27|柔彩花园|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
28|泡泡彩虹|#FFB0B8|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
29|蜜糖花园|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
30|晨光花园|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
31|彩虹梦境|#FFB0B0|#FFD0A0|#FFE8A0|#A0D0B0|#98C0D8|#B8A0E0
32|甜心时光|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
33|柔彩梦境|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
34|糖果花园|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
35|彩虹时光|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
36|甜梦花园|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
37|柔彩时光|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
38|泡泡花园|#FFB0B8|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
39|蜜糖时光|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
40|晨光花园|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
41|彩虹梦境|#FFB0B0|#FFD0A0|#FFE8A0|#A0D0B0|#98C0D8|#B8A0E0
42|甜心时光|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
43|柔彩梦境|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
44|糖果花园|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
45|彩虹时光|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
46|甜梦花园|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
47|柔彩时光|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
48|泡泡花园|#FFB0B8|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
49|蜜糖时光|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
50|晨光花园|#FFB8B0|#FFD0A0|#FFE8A0|#A0D0B8|#98C0E0|#B8A0E8
51|七色光|red|yellow|green|blue|magenta|cyan
